DATE,COUNTRY_ORIGIN,WEEK_OF_YEAR
2019-08-02,INDONESIA,31
2019-08-03,INDONESIA,31
2019-08-04,INDONESIA,31
2019-08-05,INDONESIA,32
2019-08-06,INDONESIA,32
2019-08-07,INDONESIA,32
2019-08-08,INDONESIA,32
2019-08-09,INDONESIA,32
2019-08-10,INDONESIA,32
2019-08-11,INDONESIA,32
2019-08-12,INDONESIA,33
2019-08-13,INDONESIA,33
2019-08-14,INDONESIA,33
2019-08-15,INDONESIA,33
2019-08-02,MALAYSIA,31
2019-08-03,MALAYSIA,31
2019-08-04,MALAYSIA,31
2019-08-05,MALAYSIA,32
2019-08-06,MALAYSIA,32
2019-08-07,MALAYSIA,32
2019-08-08,MALAYSIA,32
2019-08-09,MALAYSIA,32
2019-08-10,MALAYSIA,32
2019-08-11,MALAYSIA,32
2019-08-12,MALAYSIA,33
2019-08-13,MALAYSIA,33
2019-08-14,MALAYSIA,33
2019-08-15,MALAYSIA,33
2019-08-02,CHINA,31
2019-08-03,CHINA,31
2019-08-04,CHINA,31
2019-08-05,CHINA,32
2019-08-06,CHINA,32
2019-08-07,CHINA,32
2019-08-08,CHINA,32
2019-08-09,CHINA,32
2019-08-10,CHINA,32
2019-08-11,CHINA,32
2019-08-12,CHINA,33
2019-08-13,CHINA,33
2019-08-14,CHINA,33
2019-08-15,CHINA,33
